feature,importance
sales_rolling_mean_7,1955243226098.0
sales_lag_1,878003640122.0
sales_rolling_mean_14,463510385287.0
store_daily_sales,295309424209.0
family_daily_sales,121949321018.0
transactions,100564909286.0
sales_rolling_min_7,62216182419.0
sales_rolling_max_7,52593436404.0
cluster_family,36963831384.0
dcoilwtico,29847059552.0
sales_rolling_max_14,20549086891.0
day_of_week,13369730523.0
onpromotion,9568346119.0
sales_rolling_max_28,8930510278.0
day_of_month,8763052578.0
day_of_year,8305655589.0
transactions_rolling_mean_7,8150496793.0
transactions_lag_14,5847481022.0
sales_rolling_mean_28,5662097471.0
sales_rolling_min_14,5651914882.0
sales_rolling_std_7,5621477515.0
store_type_family,5569967293.0
oil_lag_7,4547498414.0
oil_lag_14,4181717316.0
week_of_year,3493357133.0
transactions_lag_7,3412021945.0
sales_lag_7,3399402156.0
sales_rolling_std_14,2965980242.0
sales_rolling_std_28,2844462707.0
oil_rolling_mean_7,2583463778.0
promotion_change,2474706112.0
sales_lag_28,2423039838.0
store_nbr,2412626263.0
city,2302056496.0
onpromotion_rolling_mean_7,2222358289.0
onpromotion_rolling_mean_28,1687878237.0
sales_lag_14,1654437213.0
sales_rolling_min_28,1589416862.0
onpromotion_rolling_mean_14,1564602774.0
year,1523231670.0
oil_rolling_mean_28,1436253151.0
promotion_ratio,1249619235.0
transactions_change,1084210068.0
cluster,1051501727.0
onpromotion_lag_14,1040927264.0
onpromotion_lag_28,1002679066.0
onpromotion_lag_1,893334701.0
onpromotion_lag_7,830744016.0
holiday_transferred_national,733591565.0
month,564790547.0
holiday_type_national,545107789.0
holiday_type,522520396.0
family,439743668.0
state,286219925.0
is_holiday,150588560.0
is_month_end,111293908.0
is_month_start,58449300.0
type,33161734.0
is_year_end,27158430.0
is_quarter_start,10472203.0
is_quarter_end,7132221.0
is_year_start,3869970.0
promotion_active,3771590.0
oil_rolling_std_7,3284205.0
is_weekend,2166090.0
holiday_type_local,2001420.0
quarter,608012.0
holiday_type_regional,0.0
oil_change_pct,0.0
oil_change,0.0
