feature,importance
sales_rolling_mean_7,0.54144955
sales_lag_1,0.14983898
sales_rolling_mean_14,0.08514533
sales_rolling_max_14,0.0306633
is_weekend,0.028897077
store_daily_sales,0.021641541
sales_rolling_min_7,0.010802048
family_daily_sales,0.010638181
sales_rolling_max_7,0.009805204
transactions,0.00884779
day_of_week,0.007913342
oil_lag_7,0.006845882
sales_rolling_mean_28,0.0062975045
sales_rolling_max_28,0.004757951
year,0.004520936
promotion_ratio,0.0030974303
transactions_rolling_mean_7,0.0030079794
dcoilwtico,0.002558063
type,0.0024295726
onpromotion,0.0023935426
sales_rolling_min_14,0.0021900819
oil_rolling_mean_28,0.0020875016
sales_rolling_std_28,0.0019598966
sales_rolling_std_7,0.0019299893
month,0.0019050983
oil_lag_14,0.0018555891
is_holiday,0.0018325308
is_month_start,0.0017768983
day_of_month,0.0017011617
cluster,0.001689775
store_type_family,0.0016273608
day_of_year,0.0015636552
city,0.0015612202
holiday_type,0.0015415383
family,0.0015001427
holiday_type_national,0.0014970722
cluster_family,0.0014621766
sales_rolling_min_28,0.001347932
sales_rolling_std_14,0.0013331128
onpromotion_lag_14,0.0012851794
oil_rolling_mean_7,0.0012647294
sales_lag_7,0.0012419774
is_year_end,0.001241084
transactions_lag_7,0.0012040288
transactions_lag_14,0.0011987075
is_quarter_end,0.0011943748
is_month_end,0.0011829041
transactions_change,0.001145247
week_of_year,0.001103519
state,0.0010740777
promotion_change,0.0010679418
holiday_type_local,0.001036863
onpromotion_rolling_mean_28,0.000982213
onpromotion_rolling_mean_7,0.0009115615
quarter,0.0008990977
onpromotion_rolling_mean_14,0.00089215435
sales_lag_28,0.00086204393
store_nbr,0.000853751
holiday_transferred_national,0.00081557233
onpromotion_lag_28,0.0008037721
sales_lag_14,0.00068726233
onpromotion_lag_1,0.00067816384
is_year_start,0.00066331954
onpromotion_lag_7,0.0006604514
oil_rolling_std_7,0.0006599409
is_quarter_start,0.00033199438
promotion_active,0.00014422458
holiday_type_regional,0.0
oil_change_pct,0.0
oil_change,0.0
